booking_date,travel_date,destination,package_type,booking_channel,quantity,booking_amount,discount_amount,booking_status,payment_method,agent_name,trip_duration_days,customer_type,city,state,country,age,registration_date,loyalty_tier,preferred_destination
2024-01-03,2025-02-15,Tokyo,Standard,Website,4,4368,93,Cancelled,Card,Bob,2,Guest,Dubai,NY,USA,48,2024-04-02,Silver,Tokyo
2024-08-17,2025-11-26,Paris,Premium,Agent,3,3635,69,Completed,Bank Transfer,Charlie,3,Registered,Dubai,IDF,Singapore,63,2023-07-14,Silver,Sydney
2024-07-02,2025-08-17,Bangkok,Standard,Mobile App,1,631,119,Cancelled,UPI,Charlie,3,Registered,Paris,SG,Singapore,49,2024-06-15,Bronze,Tokyo
2024-01-09,2026-01-13,Paris,Premium,Agent,3,3941,189,Pending,Card,Dana,7,Registered,Dubai,IDF,Singapore,63,2023-07-14,Silver,Sydney
2024-07-19,2026-07-14,Paris,Standard,Website,4,4241,6,Completed,Bank Transfer,Charlie,12,Registered,New York,DXB,France,39,2024-03-25,Gold,Tokyo
2024-12-09,2025-01-02,Dubai,Luxury,Agent,3,278,26,Completed,Bank Transfer,Bob,8,Registered,Singapore,,UAE,59,2022-07-22,Silver,Sydney
2024-05-25,2025-10-14,Tokyo,Standard,Website,5,690,105,Pending,UPI,Dana,13,Registered,Dubai,NY,Singapore,32,2022-11-02,Silver,Bangkok
2024-04-07,2026-06-02,Paris,Luxury,Mobile App,1,4957,151,Pending,Card,Dana,12,Registered,London,IDF,UK,52,2024-12-22,Bronze,Rome
2024-10-25,2025-09-25,London,Premium,Agent,3,2139,81,Cancelled,UPI,Bob,3,Registered,London,,Singapore,46,2022-10-15,Silver,Bangkok
2025-08-21,2025-04-22,Paris,Standard,Website,4,1315,119,Cancelled,UPI,Alice,10,Registered,Paris,,France,50,2024-09-27,Silver,Tokyo
2025-04-07,2025-11-12,Dubai,Premium,Website,1,1900,40,Pending,UPI,Alice,5,Registered,Paris,IDF,UAE,35,2024-05-13,Silver,Tokyo
2024-04-03,2025-09-12,London,Premium,Agent,1,1415,173,Cancelled,UPI,Bob,2,Registered,New York,DXB,UAE,39,2025-01-16,Silver,Sydney
2025-07-23,2026-07-18,Paris,Standard,Mobile App,1,3904,35,Completed,Card,Alice,14,Registered,Paris,DXB,UK,66,2024-08-09,Gold,Sydney
2024-07-21,2026-02-15,London,Luxury,Agent,1,1270,149,Pending,UPI,Alice,2,Registered,London,,USA,40,2025-02-20,Silver,Bangkok
2025-10-23,2026-03-31,Paris,Standard,Mobile App,1,1819,10,Cancelled,Card,Bob,11,Registered,New York,NY,USA,27,2022-11-24,Gold,Sydney
2025-05-23,2025-01-31,Dubai,Luxury,Mobile App,2,3435,90,Completed,Card,Charlie,6,Registered,Dubai,SG,France,40,2024-07-18,Silver,Rome
2024-02-05,2026-09-21,Bangkok,Luxury,Website,3,1417,127,Cancelled,Bank Transfer,Dana,2,Guest,New York,SG,UK,35,2022-04-04,Bronze,Rome
2025-01-27,2025-05-21,Dubai,Standard,Agent,5,2491,63,Pending,Bank Transfer,Alice,8,Registered,Dubai,NY,USA,41,2023-09-22,Bronze,Tokyo
2025-05-06,2026-07-12,Dubai,Premium,Agent,5,3141,82,Cancelled,UPI,Bob,2,Registered,Singapore,,USA,71,2025-02-09,Bronze,Bangkok
2024-01-31,2025-10-15,Tokyo,Premium,Agent,3,1994,196,Pending,Card,Bob,3,Registered,London,IDF,France,38,2025-01-11,Bronze,Bangkok
2024-09-29,2026-07-01,Tokyo,Standard,Agent,4,2175,90,Completed,Card,Bob,11,Registered,New York,SG,UAE,40,2023-10-05,Silver,Tokyo
2025-08-28,2025-01-29,London,Luxury,Agent,2,3139,144,Completed,UPI,Charlie,4,Registered,London,IDF,France,38,2025-01-11,Bronze,Bangkok
2024-04-02,2025-02-27,Paris,Luxury,Website,1,510,134,Cancelled,Card,Charlie,11,Registered,Dubai,NY,Singapore,32,2022-11-02,Silver,Bangkok
2024-12-14,2025-07-01,London,Standard,Website,2,1268,150,Pending,Card,Alice,10,Registered,Paris,,France,50,2024-09-27,Silver,Tokyo
2025-01-17,2026-11-10,Dubai,Luxury,Website,3,794,77,Cancelled,Card,Bob,13,Registered,New York,NY,UK,30,2022-02-11,Gold,Bangkok
2025-10-26,2025-11-21,Paris,Luxury,Agent,5,4191,91,Completed,Bank Transfer,Bob,8,Registered,Paris,,USA,64,2023-01-30,Silver,Tokyo
2024-05-10,2025-07-01,Tokyo,Luxury,Agent,4,2612,197,Pending,Card,Bob,11,Registered,Dubai,SG,Singapore,45,2025-01-27,Silver,Bangkok
2025-10-16,2026-08-03,Tokyo,Premium,Website,3,2009,190,Completed,Card,Charlie,7,Registered,London,IDF,France,38,2025-01-11,Bronze,Bangkok
2025-11-17,2026-10-17,London,Premium,Website,3,926,53,Completed,Bank Transfer,Alice,7,Registered,Dubai,NY,Singapore,33,2025-03-31,Gold,Tokyo
2024-01-02,2025-02-19,Dubai,Premium,Agent,4,1085,42,Cancelled,UPI,Dana,7,Registered,New York,SG,Singapore,61,2023-02-08,Silver,Sydney
2024-04-13,2026-05-06,Bangkok,Luxury,Agent,2,3274,41,Cancelled,Card,Alice,6,Guest,Singapore,,UK,37,2025-02-02,Bronze,Sydney
2024-09-24,2025-04-18,Tokyo,Premium,Website,4,2810,41,Pending,Card,Alice,7,Registered,New York,DXB,USA,40,2023-12-06,Gold,Rome
2024-02-01,2026-03-18,Paris,Luxury,Mobile App,2,4154,13,Completed,UPI,Bob,5,Registered,Paris,SG,UAE,38,2024-09-26,Gold,Tokyo
2025-07-07,2025-09-29,London,Premium,Website,1,4739,12,Cancelled,Bank Transfer,Dana,4,Guest,Paris,NY,UAE,72,2023-10-28,Bronze,Sydney
2024-01-04,2026-03-14,Tokyo,Premium,Agent,5,3155,122,Completed,Card,Alice,5,Registered,London,DXB,UAE,74,2024-07-28,Bronze,Rome
2024-03-24,2026-04-30,Tokyo,Premium,Mobile App,4,2590,125,Pending,UPI,Alice,12,Registered,Singapore,NY,UAE,60,2025-04-10,Gold,Rome
2024-07-08,2026-01-15,Dubai,Premium,Website,4,3374,11,Cancelled,UPI,Dana,6,Guest,Singapore,,UK,37,2025-02-02,Bronze,Sydney
2025-07-31,2025-03-05,Paris,Luxury,Agent,1,2400,21,Pending,UPI,Dana,14,Registered,London,,UK,74,2024-04-24,Bronze,Bangkok
2025-07-20,2025-03-04,Dubai,Luxury,Mobile App,5,2063,175,Cancelled,Bank Transfer,Bob,9,Registered,New York,SG,UAE,18,2022-10-23,Silver,Bangkok
2025-02-08,2025-02-05,Bangkok,Luxury,Agent,5,846,173,Pending,Card,Alice,14,Registered,New York,DXB,UK,29,2024-11-26,Silver,Tokyo
2024-06-20,2025-08-05,Paris,Standard,Website,4,1616,20,Pending,UPI,Bob,12,Guest,New York,SG,UK,35,2022-04-04,Bronze,Rome
2024-11-23,2025-03-10,Tokyo,Premium,Agent,4,2312,141,Cancelled,UPI,Dana,2,Registered,Dubai,NY,UAE,34,2024-07-20,Silver,Sydney
2025-03-05,2025-04-26,Dubai,Standard,Website,5,4480,150,Pending,Card,Alice,11,Guest,Paris,NY,France,52,2024-01-05,Bronze,Sydney
2024-10-19,2026-07-03,London,Premium,Mobile App,4,1027,167,Cancelled,Bank Transfer,Dana,2,Guest,Paris,SG,France,40,2022-08-01,Gold,Bangkok
2025-02-16,2025-05-28,Bangkok,Luxury,Agent,4,2456,9,Cancelled,UPI,Bob,2,Guest,Paris,,France,33,2023-06-28,Silver,Bangkok
2024-10-02,2026-01-17,Tokyo,Premium,Mobile App,3,4092,71,Cancelled,Bank Transfer,Alice,5,Registered,Dubai,DXB,USA,75,2022-06-15,Silver,Bangkok
2025-03-29,2025-11-25,London,Luxury,Mobile App,5,2661,165,Completed,Card,Dana,5,Guest,Paris,DXB,UK,73,2022-06-04,Silver,Tokyo
2025-06-12,2026-01-18,Tokyo,Luxury,Website,1,4168,79,Pending,Bank Transfer,Dana,4,Guest,Paris,NY,UAE,72,2023-10-28,Bronze,Sydney
2025-08-05,2025-01-30,Paris,Standard,Website,1,4494,63,Completed,UPI,Alice,7,Guest,Paris,SG,France,40,2022-08-01,Gold,Bangkok
2024-10-07,2026-01-13,Dubai,Luxury,Mobile App,1,1831,174,Completed,Card,Charlie,9,Registered,Paris,,USA,72,2024-07-20,Bronze,Bangkok
2024-06-30,2026-05-01,Bangkok,Luxury,Mobile App,3,3854,41,Cancelled,Bank Transfer,Alice,6,Registered,Paris,SG,UAE,38,2024-09-26,Gold,Tokyo
2024-02-20,2025-06-16,Bangkok,Standard,Website,2,3366,173,Completed,UPI,Dana,10,Registered,Singapore,IDF,Singapore,30,2022-05-23,Bronze,Bangkok
2025-04-30,2025-05-16,Paris,Luxury,Website,2,272,64,Pending,UPI,Charlie,8,Registered,New York,DXB,USA,40,2023-12-06,Gold,Rome
2025-04-15,2025-09-16,Paris,Premium,Mobile App,5,3056,159,Cancelled,Bank Transfer,Alice,2,Registered,New York,SG,USA,37,2025-03-25,Gold,Sydney
2025-07-28,2026-10-25,Bangkok,Luxury,Mobile App,3,3265,175,Completed,UPI,Alice,7,Registered,Singapore,SG,USA,66,2023-07-06,Gold,Tokyo
2024-10-10,2025-09-25,London,Standard,Website,5,2863,195,Completed,Card,Dana,12,Registered,Paris,,UAE,68,2025-04-02,Gold,Rome
2024-01-27,2026-11-03,Dubai,Premium,Mobile App,4,1346,103,Cancelled,Bank Transfer,Alice,11,Registered,London,IDF,France,38,2025-01-11,Bronze,Bangkok
2024-07-13,2025-12-18,Paris,Luxury,Agent,4,4886,171,Cancelled,Bank Transfer,Charlie,4,Registered,Singapore,NY,USA,68,2023-11-15,Bronze,Bangkok
2024-07-04,2025-10-28,Tokyo,Premium,Website,3,4773,185,Pending,Card,Charlie,12,Registered,London,SG,France,51,2024-10-24,Silver,Bangkok
2024-12-29,2025-08-17,London,Premium,Mobile App,3,2020,66,Pending,UPI,Dana,3,Registered,Dubai,NY,USA,41,2023-09-22,Bronze,Tokyo
2025-10-11,2026-08-21,Bangkok,Luxury,Website,4,639,49,Pending,Card,Dana,10,Registered,Dubai,DXB,France,73,2024-05-28,Silver,Tokyo
2024-02-25,2025-06-04,Paris,Standard,Mobile App,4,3584,145,Cancelled,Card,Charlie,13,Registered,New York,DXB,UK,29,2024-11-26,Silver,Tokyo
2025-05-14,2025-12-07,Paris,Premium,Agent,1,862,1,Cancelled,UPI,Bob,14,Registered,Singapore,SG,USA,22,2025-01-06,Bronze,Rome
2025-08-13,2025-06-12,Dubai,Standard,Website,5,1581,111,Pending,UPI,Dana,8,Registered,New York,DXB,France,73,2024-05-16,Gold,Tokyo
2024-01-05,2025-02-08,Bangkok,Standard,Agent,3,3340,3,Cancelled,Bank Transfer,Bob,2,Registered,London,,UK,53,2022-06-03,Bronze,Tokyo
2025-10-03,2025-09-12,Paris,Luxury,Mobile App,3,233,33,Completed,UPI,Charlie,4,Registered,Dubai,NY,Singapore,74,2025-02-23,Silver,Bangkok
2024-11-01,2025-10-25,Dubai,Luxury,Agent,5,574,134,Cancelled,UPI,Bob,7,Registered,New York,NY,USA,27,2022-11-24,Gold,Sydney
2024-07-11,2025-06-18,Dubai,Standard,Website,2,3142,186,Completed,Card,Alice,11,Registered,Dubai,NY,Singapore,32,2022-11-02,Silver,Bangkok
2024-05-06,2026-01-11,Tokyo,Premium,Agent,3,1584,197,Pending,Bank Transfer,Alice,11,Guest,Dubai,IDF,Singapore,34,2022-02-22,Bronze,Bangkok
2025-10-31,2025-01-21,Tokyo,Luxury,Website,4,1085,113,Cancelled,Card,Charlie,9,Registered,New York,IDF,UAE,35,2022-05-16,Bronze,Rome
2024-07-29,2026-10-08,Tokyo,Premium,Mobile App,1,1454,169,Pending,UPI,Bob,8,Guest,Paris,NY,France,52,2024-01-05,Bronze,Sydney
2025-09-24,2025-05-01,London,Standard,Website,4,4390,50,Pending,Card,Charlie,10,Registered,Dubai,SG,UAE,25,2023-05-23,Bronze,Tokyo
2025-02-23,2025-10-30,Paris,Standard,Agent,4,3132,53,Pending,UPI,Charlie,5,Registered,Paris,,France,50,2024-09-27,Silver,Tokyo
2025-11-18,2025-04-02,Tokyo,Luxury,Agent,4,304,38,Completed,Bank Transfer,Alice,13,Registered,New York,NY,France,33,2023-04-03,Bronze,Tokyo
2024-09-19,2026-10-22,Paris,Premium,Mobile App,3,1029,118,Completed,Card,Bob,2,Registered,London,NY,France,68,2023-05-03,Gold,Rome
2025-11-24,2025-11-17,Dubai,Luxury,Website,1,3150,194,Completed,Card,Bob,12,Guest,Dubai,SG,USA,47,2024-04-28,Gold,Bangkok
2024-12-02,2026-01-02,Dubai,Luxury,Mobile App,1,1596,95,Cancelled,Card,Alice,8,Registered,London,,Singapore,34,2022-10-08,Gold,Tokyo
2024-10-05,2026-01-30,Dubai,Premium,Agent,2,3939,28,Completed,Bank Transfer,Alice,4,Registered,Dubai,DXB,Singapore,35,2023-10-23,Bronze,Tokyo
2025-08-27,2026-05-10,Bangkok,Luxury,Mobile App,2,3608,156,Cancelled,UPI,Alice,12,Registered,Dubai,SG,UAE,25,2023-05-23,Bronze,Tokyo
2025-05-09,2026-05-15,Tokyo,Premium,Mobile App,1,1270,16,Cancelled,Bank Transfer,Charlie,2,Registered,New York,,France,21,2022-09-17,Gold,Sydney
2025-08-13,2026-08-02,Paris,Luxury,Mobile App,5,4499,133,Pending,Bank Transfer,Alice,8,Registered,Paris,,USA,72,2024-07-20,Bronze,Bangkok
2024-06-18,2025-03-18,Dubai,Premium,Website,3,4261,71,Completed,Bank Transfer,Bob,10,Registered,Dubai,DXB,France,73,2024-05-28,Silver,Tokyo
2025-02-16,2025-08-29,Tokyo,Premium,Mobile App,5,3301,114,Completed,UPI,Dana,7,Guest,Singapore,DXB,France,67,2023-04-17,Gold,Rome
2025-10-31,2025-01-19,Tokyo,Premium,Mobile App,1,4274,142,Pending,Card,Alice,14,Registered,Singapore,SG,UAE,33,2024-08-26,Silver,Bangkok
2025-06-04,2026-07-30,Paris,Luxury,Agent,4,2695,87,Cancelled,Card,Bob,9,Guest,Dubai,NY,USA,46,2022-12-07,Gold,Rome
2025-09-26,2026-09-07,Dubai,Luxury,Agent,3,4788,183,Cancelled,Card,Alice,14,Guest,New York,,UAE,42,2025-04-11,Gold,Tokyo
2024-01-03,2025-12-16,London,Luxury,Mobile App,5,2016,133,Cancelled,Bank Transfer,Alice,2,Registered,London,SG,France,51,2024-10-24,Silver,Bangkok
2024-05-23,2026-02-24,Tokyo,Premium,Agent,2,4233,48,Completed,UPI,Bob,9,Registered,Dubai,NY,Singapore,33,2025-03-31,Gold,Tokyo
2024-04-20,2026-03-01,Tokyo,Luxury,Agent,5,2968,31,Cancelled,UPI,Bob,9,Registered,London,DXB,Singapore,63,2023-09-12,Gold,Tokyo
2024-02-19,2026-07-21,Dubai,Luxury,Mobile App,5,4544,199,Completed,Bank Transfer,Bob,13,Registered,Singapore,NY,Singapore,45,2022-03-07,Bronze,Tokyo
2025-01-31,2026-11-05,Bangkok,Luxury,Mobile App,5,1048,98,Cancelled,Bank Transfer,Bob,6,Registered,New York,NY,USA,43,2023-11-26,Bronze,Bangkok
2024-10-28,2026-04-09,Paris,Standard,Mobile App,5,3008,179,Pending,Bank Transfer,Charlie,13,Registered,Dubai,,Singapore,59,2023-07-08,Gold,Sydney
2025-07-20,2026-10-10,Paris,Standard,Website,5,2771,182,Cancelled,Bank Transfer,Charlie,12,Registered,New York,,USA,47,2022-08-29,Gold,Bangkok
2025-05-30,2026-07-10,London,Luxury,Website,3,1656,143,Cancelled,Bank Transfer,Dana,12,Registered,London,,Singapore,46,2022-10-15,Silver,Bangkok
2024-10-19,2026-03-09,Tokyo,Luxury,Website,1,4573,97,Completed,Card,Alice,5,Registered,New York,,France,57,2025-04-13,Gold,Rome
2024-10-20,2026-12-01,London,Standard,Website,3,1518,52,Pending,Card,Charlie,9,Registered,Singapore,,UK,44,2024-02-16,Gold,Bangkok
2024-08-17,2026-10-25,Bangkok,Premium,Website,5,4802,200,Pending,UPI,Alice,8,Registered,Dubai,SG,UAE,25,2023-05-23,Bronze,Tokyo
2024-11-16,2026-07-20,Tokyo,Standard,Agent,3,3612,51,Pending,UPI,Bob,12,Guest,Paris,NY,Singapore,59,2023-11-30,Bronze,Sydney
2025-08-25,2026-07-14,Bangkok,Standard,Agent,2,3212,75,Cancelled,Card,Alice,4,Registered,Paris,,USA,72,2024-07-20,Bronze,Bangkok
2024-05-02,2026-01-22,Tokyo,Premium,Mobile App,5,4409,67,Completed,Card,Charlie,2,Guest,Paris,,France,33,2023-06-28,Silver,Bangkok
2024-06-07,2025-02-10,Paris,Premium,Agent,1,4020,198,Pending,Bank Transfer,Charlie,9,Guest,New York,,UAE,42,2025-04-11,Gold,Tokyo
2025-01-01,2025-03-16,London,Luxury,Website,2,4706,133,Completed,Bank Transfer,Bob,8,Registered,Paris,IDF,Singapore,66,2025-01-17,Silver,Sydney
2025-02-17,2025-04-05,London,Standard,Website,3,4599,84,Cancelled,UPI,Bob,14,Guest,Singapore,,UK,37,2025-02-02,Bronze,Sydney
2025-05-01,2026-07-29,Tokyo,Standard,Agent,3,4545,114,Completed,Bank Transfer,Bob,2,Registered,Dubai,SG,UK,32,2024-08-02,Gold,Rome
2025-01-25,2025-04-27,Dubai,Premium,Agent,3,2829,6,Pending,UPI,Dana,9,Guest,New York,DXB,France,59,2024-04-16,Bronze,Bangkok
2025-10-29,2025-07-17,London,Luxury,Website,1,2628,42,Pending,Bank Transfer,Alice,12,Registered,Dubai,IDF,Singapore,32,2023-10-27,Bronze,Bangkok
2025-11-17,2026-10-07,Paris,Luxury,Mobile App,1,1926,52,Pending,Bank Transfer,Dana,12,Registered,New York,NY,USA,27,2022-11-24,Gold,Sydney
2024-01-25,2026-04-16,London,Standard,Website,1,1459,13,Completed,UPI,Alice,11,Registered,Singapore,NY,USA,61,2025-01-04,Silver,Rome
2025-02-21,2026-02-02,Dubai,Luxury,Mobile App,4,2318,80,Completed,UPI,Alice,10,Registered,Paris,DXB,UK,35,2022-11-23,Gold,Tokyo
2025-08-22,2025-02-16,Tokyo,Premium,Agent,1,718,74,Pending,UPI,Alice,6,Registered,Singapore,NY,Singapore,45,2022-03-07,Bronze,Tokyo
2025-01-25,2026-02-09,Tokyo,Premium,Website,5,3785,56,Completed,Bank Transfer,Dana,14,Registered,New York,IDF,UAE,38,2023-06-07,Silver,Bangkok
2025-10-11,2025-05-28,London,Luxury,Agent,3,2616,2,Pending,Bank Transfer,Bob,3,Guest,Singapore,,UK,37,2025-02-02,Bronze,Sydney
2025-08-09,2026-09-03,Dubai,Luxury,Agent,1,241,78,Completed,Bank Transfer,Charlie,5,Registered,New York,SG,UK,52,2023-05-17,Bronze,Sydney
2024-05-25,2025-06-14,Paris,Standard,Agent,3,4398,49,Completed,Card,Alice,14,Registered,London,IDF,France,39,2023-07-27,Gold,Rome
2025-10-22,2026-07-17,Tokyo,Premium,Agent,1,3978,64,Completed,Card,Dana,7,Registered,New York,,USA,47,2022-08-29,Gold,Bangkok
2025-11-18,2026-11-03,Paris,Standard,Mobile App,5,1250,17,Completed,UPI,Dana,9,Registered,Paris,IDF,UAE,35,2024-05-13,Silver,Tokyo
2025-08-21,2025-06-06,Bangkok,Luxury,Mobile App,3,2704,109,Completed,Card,Charlie,5,Guest,New York,,UAE,42,2025-04-11,Gold,Tokyo
2024-10-10,2026-01-04,Paris,Luxury,Agent,3,3772,122,Cancelled,UPI,Charlie,14,Registered,London,,USA,40,2025-02-20,Silver,Bangkok
2025-07-18,2025-04-22,Paris,Luxury,Agent,1,4189,71,Completed,Bank Transfer,Bob,6,Registered,Dubai,SG,Singapore,45,2025-01-27,Silver,Bangkok
2024-03-18,2025-01-20,Bangkok,Luxury,Website,5,826,148,Cancelled,Bank Transfer,Bob,2,Registered,Singapore,NY,USA,48,2024-07-07,Silver,Tokyo
2025-07-10,2026-07-07,Dubai,Luxury,Website,3,2334,100,Completed,Bank Transfer,Charlie,4,Registered,Dubai,IDF,Singapore,63,2023-07-14,Silver,Sydney
2025-06-06,2025-04-03,Dubai,Premium,Agent,1,4305,169,Completed,Bank Transfer,Bob,14,Registered,London,,Singapore,37,2022-06-24,Bronze,Tokyo
2025-04-01,2025-06-13,Paris,Luxury,Agent,2,1349,188,Pending,UPI,Charlie,2,Registered,London,DXB,Singapore,59,2024-06-24,Silver,Bangkok
2024-08-25,2025-03-06,London,Premium,Website,1,4194,171,Completed,Bank Transfer,Charlie,8,Registered,London,,USA,40,2025-02-20,Silver,Bangkok
2024-02-17,2025-02-10,London,Standard,Agent,5,3924,162,Cancelled,Bank Transfer,Charlie,11,Registered,Dubai,DXB,France,73,2024-05-28,Silver,Tokyo
2024-06-27,2026-01-21,Dubai,Premium,Agent,1,4870,132,Cancelled,UPI,Bob,10,Guest,Singapore,,UK,37,2025-02-02,Bronze,Sydney
2024-12-19,2026-05-14,Dubai,Luxury,Website,5,3090,35,Cancelled,Card,Bob,3,Registered,Paris,DXB,UK,66,2024-08-09,Gold,Sydney
2024-08-04,2025-06-03,Paris,Standard,Mobile App,5,2500,183,Completed,Bank Transfer,Bob,8,Registered,London,DXB,Singapore,59,2024-06-24,Silver,Bangkok
2025-05-08,2026-11-23,Dubai,Premium,Website,5,1128,41,Pending,UPI,Alice,5,Guest,New York,,UAE,42,2025-04-11,Gold,Tokyo
2025-08-10,2026-08-30,Paris,Standard,Agent,5,1247,10,Pending,Card,Alice,4,Registered,Dubai,IDF,Singapore,32,2023-10-27,Bronze,Bangkok
2025-06-13,2026-02-20,Bangkok,Luxury,Agent,1,1674,184,Pending,Bank Transfer,Charlie,3,Registered,New York,IDF,Singapore,38,2022-09-13,Gold,Rome
2025-09-13,2026-04-28,Dubai,Standard,Website,4,3879,153,Completed,Bank Transfer,Bob,11,Registered,Dubai,,USA,37,2024-01-17,Bronze,Rome
2024-09-27,2025-06-21,London,Premium,Agent,5,4384,17,Completed,UPI,Dana,4,Registered,London,SG,France,51,2024-10-24,Silver,Bangkok
2024-07-26,2026-06-20,Bangkok,Luxury,Mobile App,2,335,155,Completed,Card,Dana,11,Registered,Paris,NY,Singapore,53,2023-04-17,Gold,Bangkok
2025-06-28,2026-05-31,Tokyo,Standard,Mobile App,2,519,154,Pending,Card,Dana,10,Registered,Singapore,NY,UK,58,2023-08-12,Bronze,Tokyo
2024-02-14,2026-06-27,Dubai,Standard,Mobile App,4,3234,89,Pending,Bank Transfer,Alice,8,Registered,Dubai,SG,UK,62,2024-09-02,Gold,Sydney
2025-05-03,2025-08-27,Tokyo,Premium,Agent,5,2285,104,Cancelled,Card,Alice,13,Guest,Paris,DXB,UK,73,2022-06-04,Silver,Tokyo
2025-08-14,2026-06-20,Tokyo,Luxury,Website,4,258,167,Completed,Bank Transfer,Charlie,8,Registered,Dubai,DXB,USA,75,2022-06-15,Silver,Bangkok
2024-06-07,2026-03-13,Bangkok,Premium,Mobile App,5,1073,108,Pending,UPI,Charlie,12,Registered,Dubai,NY,Singapore,21,2023-12-18,Bronze,Tokyo
2025-02-27,2026-07-20,Bangkok,Premium,Website,3,1868,143,Pending,UPI,Charlie,6,Registered,Dubai,,Singapore,59,2023-07-08,Gold,Sydney
2025-02-11,2025-05-22,Tokyo,Luxury,Website,4,3020,200,Pending,Card,Alice,5,Registered,Paris,,UK,54,2024-02-24,Bronze,Sydney
2024-12-12,2026-07-18,Bangkok,Luxury,Agent,1,3481,41,Cancelled,Bank Transfer,Alice,14,Registered,Singapore,SG,USA,66,2023-07-06,Gold,Tokyo
2025-04-27,2026-09-07,Dubai,Standard,Website,3,1390,56,Cancelled,Card,Alice,13,Registered,London,SG,USA,23,2024-09-22,Bronze,Bangkok
2025-09-20,2026-11-03,Bangkok,Premium,Agent,5,3482,14,Completed,Bank Transfer,Dana,9,Registered,Singapore,NY,Singapore,68,2022-03-26,Silver,Sydney
2025-11-03,2026-06-15,London,Standard,Website,5,1852,130,Pending,Bank Transfer,Bob,11,Registered,London,,Singapore,56,2022-02-24,Gold,Bangkok
2025-01-03,2025-09-02,Tokyo,Standard,Website,3,495,199,Cancelled,UPI,Dana,8,Registered,Singapore,NY,UAE,60,2025-04-10,Gold,Rome
2025-06-14,2025-01-16,Tokyo,Standard,Agent,3,1840,185,Pending,Bank Transfer,Charlie,7,Registered,New York,SG,UAE,18,2022-10-23,Silver,Bangkok
2025-09-12,2025-07-19,Dubai,Premium,Agent,1,2053,66,Completed,UPI,Alice,10,Registered,Paris,,UAE,68,2025-04-02,Gold,Rome
2024-10-28,2025-12-15,Tokyo,Luxury,Mobile App,5,4321,147,Cancelled,Bank Transfer,Dana,8,Registered,Singapore,NY,USA,61,2025-01-04,Silver,Rome
2024-09-06,2025-12-14,Dubai,Luxury,Mobile App,5,4161,7,Cancelled,Card,Charlie,3,Guest,Paris,SG,France,70,2022-01-06,Silver,Rome
2025-11-24,2025-08-24,London,Premium,Mobile App,5,2005,137,Completed,Bank Transfer,Charlie,5,Registered,Dubai,,USA,55,2023-05-13,Bronze,Rome
2025-02-12,2026-11-21,London,Standard,Agent,2,961,121,Cancelled,UPI,Bob,11,Registered,Paris,,UK,27,2022-02-20,Bronze,Bangkok
2025-11-30,2025-07-14,Dubai,Luxury,Website,2,1697,188,Completed,UPI,Bob,5,Registered,Singapore,,UK,44,2024-02-16,Gold,Bangkok
2025-09-25,2025-12-31,Paris,Standard,Website,1,2245,173,Pending,UPI,Alice,14,Registered,Paris,,France,50,2024-09-27,Silver,Tokyo
2025-05-08,2026-01-16,Bangkok,Premium,Mobile App,5,546,70,Cancelled,Card,Charlie,8,Registered,Singapore,,France,46,2024-09-19,Bronze,Tokyo
2024-05-11,2025-02-25,Bangkok,Premium,Mobile App,5,4924,8,Pending,UPI,Dana,12,Registered,London,,USA,40,2025-02-20,Silver,Bangkok
2025-04-13,2025-05-04,Bangkok,Premium,Mobile App,1,1631,3,Pending,Card,Dana,11,Registered,New York,DXB,France,73,2024-05-16,Gold,Tokyo
2025-01-05,2026-09-20,London,Standard,Agent,3,2865,60,Cancelled,UPI,Charlie,7,Registered,London,SG,UK,63,2023-10-01,Silver,Rome
2025-03-10,2025-08-04,Dubai,Luxury,Mobile App,3,4285,102,Cancelled,UPI,Bob,11,Registered,London,IDF,USA,74,2023-05-16,Silver,Rome
2024-08-22,2025-04-13,London,Standard,Agent,4,4917,97,Completed,Card,Bob,9,Registered,London,,Singapore,46,2022-10-15,Silver,Bangkok
2025-03-07,2026-05-27,Paris,Luxury,Agent,5,1646,184,Cancelled,UPI,Charlie,6,Registered,London,,Singapore,56,2022-02-24,Gold,Bangkok
2024-02-18,2026-02-12,Tokyo,Luxury,Website,1,4851,55,Cancelled,UPI,Alice,9,Registered,Singapore,SG,UK,73,2022-05-23,Silver,Sydney
2024-09-23,2026-01-05,London,Luxury,Agent,3,2941,88,Completed,UPI,Alice,7,Registered,Dubai,DXB,USA,75,2022-06-15,Silver,Bangkok
2025-08-13,2026-08-13,Bangkok,Standard,Mobile App,3,1829,83,Pending,Bank Transfer,Dana,14,Registered,Dubai,NY,Singapore,74,2025-02-23,Silver,Bangkok
2024-03-21,2026-01-26,Bangkok,Premium,Mobile App,2,3861,42,Pending,UPI,Dana,12,Registered,Dubai,SG,UK,57,2022-03-30,Gold,Rome
2025-02-18,2025-03-15,Tokyo,Standard,Mobile App,2,4882,80,Cancelled,Bank Transfer,Charlie,13,Registered,Paris,DXB,UK,33,2024-12-23,Silver,Bangkok
2024-10-04,2026-04-01,London,Luxury,Agent,5,3439,115,Cancelled,Card,Bob,2,Registered,Singapore,,UK,44,2024-02-16,Gold,Bangkok
